WL(nm),Pan,Coastal,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
872.5,0.000254,0.000017,0.000024,0.000002,0.000006,0.000008,0.000008,0.649781,0.991677
875,0.000242,0.000018,0.000027,0.000001,0.000006,0.000004,0.000005,0.632471,0.993363
877.5,0.000275,0.000016,0.000035,0,0.000005,0.000004,0.000004,0.619908,0.999691
880,0.000307,0.000016,0.000035,0.000012,0.000002,0.000009,0.00001,0.60912,0.996691
882.5,0.000295,0.000021,0.000031,0.000009,0.000004,0.000006,0.000008,0.598992,0.983327
885,0.000284,0.000017,0.00003,0.000011,0.000004,0.000007,0.000008,0.590914,0.970856
887.5,0.000262,0.000013,0.000028,0.000009,0.000003,0.000006,0.000007,0.566107,0.95236
890,0.000237,0.00001,0.000022,0.000009,0.000003,0.000004,0.000009,0.507112,0.93302
892.5,0.000248,0.00001,0.000022,0.000008,0.000003,0.000005,0.000012,0.402799,0.922376
895,0.000259,0.000009,0.000019,0.000008,0.000003,0.000005,0.000015,0.275174,0.910922
897.5,0.00027,0.000016,0.000018,0.000007,0.000005,0.000005,0.000019,0.157667,0.899767
900,0.000282,0.000019,0.000018,0.000008,0.000004,0.000006,0.000017,0.073805,0.892112
902.5,0.000262,0.000019,0.000017,0.000007,0.000004,0.000005,0.000017,0.032787,0.878565
905,0.000241,0.000017,0.000018,0.000006,0.000004,0.000004,0.000018,0.013815,0.864645
907.5,0.000249,0.000015,0.000019,0.000005,0.000004,0.000004,0.000019,0.005391,0.850525
910,0.000258,0.000015,0.000018,0.000006,0.000003,0.000004,0.000018,0.002625,0.841298
912.5,0.000274,0.000011,0.000019,0.000007,0.000003,0.000003,0.000019,0.001809,0.827257
915,0.000288,0.00001,0.000018,0.000006,0.000002,0.000003,0.000016,0.001306,0.80818
917.5,0.000283,0.000007,0.000017,0.000007,0.000002,0.000004,0.000014,0.001033,0.794005
920,0.000276,0.000006,0.000016,0.000007,0.000002,0.000003,0.000013,0.000917,0.774377
922.5,0.000275,0.000005,0.000014,0.000006,0.000002,0.000003,0.00001,0.000891,0.760282
925,0.000273,0.000004,0.000015,0.000006,0.000002,0.000003,0.000008,0.000798,0.746906
927.5,0.000257,0.000004,0.000014,0.000005,0.000002,0.000002,0.000006,0.000746,0.725848
930,0.000242,0.000003,0.000013,0.000005,0.000001,0.000003,0.000005,0.000727,0.708967
932.5,0.000239,0.000003,0.000013,0.000005,0.000001,0.000003,0.000004,0.000783,0.689184
935,0.000234,0.000003,0.000012,0.000004,0.000001,0.000002,0.000003,0.000701,0.66172
937.5,0.000223,0.000003,0.000011,0.000004,0.000001,0.000002,0.000003,0.000655,0.64063
940,0.000214,0.000003,0.000011,0.000004,0.000001,0.000002,0.000002,0.000603,0.620929
942.5,0.000216,0.000003,0.00001,0.000003,0.000001,0.000002,0.000002,0.000558,0.596457
945,0.000219,0.000004,0.000009,0.000003,0.000001,0.000001,0.000001,0.000281,0.574685
947.5,0.000205,0.000004,0.000008,0.000003,0.000001,0.000001,0.000001,0.000274,0.551871
950,0.000191,0.000004,0.000007,0.000002,0.000001,0.000001,0.000001,0.000004,0.530905
952.5,0.00018,0.000005,0.000006,0.000002,0.000001,0.000001,0.000001,0.000003,0.51163
955,0.000169,0.000005,0.000006,0.000003,0.000001,0.000001,0.000001,0.000003,0.493667
957.5,0.000177,0.000006,0.000007,0.000002,0.000001,0.000001,0.000001,0.000002,0.474118
960,0.000183,0.000005,0.000007,0.000002,0.000001,0.000001,0.000001,0.000002,0.454311
962.5,0.000168,0.000006,0.000009,0.000002,0.000001,0.000001,0.000001,0.000001,0.437766
965,0.000151,0.000005,0.00001,0.000002,0.000001,0.000001,0.000001,0.000001,0.421449
967.5,0.000139,0.000005,0.000012,0.000002,0.000001,0.000001,0,0.000001,0.406047
970,0.000126,0.000004,0.000014,0.000002,0.000001,0.000001,0.000001,0.000001,0.389741
972.5,0.00013,0.000004,0.000015,0.000002,0.000001,0.000001,0.000001,0.000001,0.376622
975,0.000134,0.000004,0.000015,0.000002,0.000001,0.000001,0.000001,0.000001,0.363517
977.5,0.000123,0.000004,0.000015,0.000002,0.000001,0.000001,0.000001,0.000001,0.349855
980,0.000111,0.000004,0.000013,0.000001,0.000001,0.000001,0.000001,0.000001,0.336697
982.5,0.000103,0.000004,0.000011,0.000001,0.000001,0.000001,0,0.000001,0.326962
985,0.000094,0.000005,0.000009,0.000001,0.000001,0.000001,0,0.000001,0.31708
987.5,0.000105,0.000005,0.000008,0.000001,0.000001,0.000001,0.000001,0.000001,0.305806
990,0.000115,0.000005,0.000006,0.000001,0.000002,0,0,0,0.29492
992.5,0.000099,0.000005,0.000006,0.000001,0.000002,0.000001,0.000001,0.000001,0.282203
995,0.000084,0.000004,0.000005,0.000001,0.000002,0.000001,0.000001,0.000001,0.271439
997.5,0.000084,0.000004,0.000005,0.000001,0.000002,0.000001,0,0.000001,0.260807
1000,0.000085,0.000003,0.000005,0.000001,0.000002,0.000001,0,0,0.250912
1002.5,0.000078,0.000003,0.000005,0.000001,0.000001,0.000001,0,0.000001,0.243373
1005,0.00007,0.000002,0.000005,0.000001,0.000001,0.000001,0,0,0.235734
1007.5,0.000071,0.000002,0.000005,0.000002,0.000001,0.000001,0,0,0.227658
1010,0.000071,0.000002,0.000004,0.000002,0.000001,0,0,0,0.217559
1012.5,0.000066,0.000002,0.000003,0.000002,0,0.000001,0,0,0.208722
1015,0.00006,0.000003,0.000003,0.000002,0,0.000001,0,0,0.198576
1017.5,0.000062,0.000003,0.000002,0.000002,0,0,0,0,0.188152
1020,0.000064,0.000003,0.000002,0.000002,0,0,0,0,0.178705
1022.5,0.000056,0.000004,0.000002,0.000002,0,0,0,0,0.168441
1025,0.000047,0.000004,0.000002,0.000002,0,0,0,0,0.159032
1027.5,0.000043,0.000004,0.000002,0.000002,0,0,0,0,0.148125
1030,0.000039,0.000004,0.000003,0.000002,0,0,0,0,0.13777
1032.5,0.000036,0.000003,0.000003,0.000001,0,0,0,0,0.124557
1035,0.000033,0.000003,0.000003,0.000001,0,0.000001,0,0,0.109612
1037.5,0.000034,0.000003,0.000002,0.000001,0,0.000001,0,0,0.091741
1040,0.000035,0.000002,0.000002,0.000001,0,0.000001,0,0,0.071507
1042.5,0.000031,0.000002,0.000002,0.000001,0,0.000001,0,0,0.050313
1045,0.000028,0.000002,0.000002,0.000001,0,0.000001,0,0,0.032806
1047.5,0.000026,0.000002,0.000001,0.000001,0,0.000001,0,0,0.019882
1050,0.000023,0.000002,0.000001,0.000002,0,0,0,0,0.009796
1052.5,0.000021,0.000001,0.000002,0.000002,0,0,0,0,0.004708
1055,0.000019,0.000002,0.000002,0.000002,0,0,0,0,0.002185
1057.5,0.000018,0.000002,0.000003,0.000003,0,0,0,0,0.001029
1060,0.000017,0.000002,0.000003,0.000004,0,0,0,0,0.000524
1062.5,0.000015,0.000002,0.000003,0.000005,0,0,0,0,0.000298
1065,0.000013,0.000003,0.000003,0.000007,0,0,0,0,0.0002
1067.5,0.000012,0.000003,0.000003,0.00001,0,0,0,0,0.000146
1070,0.000011,0.000004,0.000002,0.000013,0,0,0,0,0.000114
1072.5,0.00001,0.000004,0.000002,0.000017,0,0,0,0,0.000102
1075,0.000009,0.000005,0.000002,0.000021,0,0,0,0,0.00008
1077.5,0.000009,0.000005,0.000002,0.000025,0,0,0,0,0.000077
1080,0.000009,0.000005,0.000003,0.00003,0,0,0,0,0.00008
1082.5,0.000008,0.000005,0.000004,0.000035,0,0,0,0,0.000065
1085,0.000007,0.000005,0.000005,0.000041,0,0,0,0,0.00007
1087.5,0.000007,0.000006,0.000006,0.000047,0,0,0,0,0.000065
1090,0.000007,0.000006,0.000006,0.000055,0,0,0,0,0.000054
1092.5,0.000007,0.000006,0.000006,0.000065,0,0,0,0,0.00003
1095,0.000006,0.000007,0.000005,0.000081,0,0,0,0,0.00003
1097.5,0.000006,0.000008,0.000004,0.000105,0.000001,0,0,0,0.000028
1100,0.000006,0.000008,0.000003,0.00014,0.000001,0,0,0,0.000001
